Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Questionnaire-bridge2aieconsentaddendumwcmresearcherstatemeschema.json	1185	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentcombinedpdfaddendummitschema.json	809	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentcombinedpdfaddendumwcmschema.json	805	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentcombinedpdfmainicfusfschema.json	808	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentmainicfusfenglishschema.json	3321	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	74	17	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentmainicfusfresearcherstatemeschema.json	1185	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	34	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aipaperconsentallsitesenglishschema.json	1931	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	50	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-dmoodbipolardisorderschema.json	4250	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	78	19	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-dmooddepressionormajordepressivedisorderschema.json	5209	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	86	20	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-dneuroalzheimersdiseasemildcognitiveimpairmeschema.json	9492	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	142	16	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-dneuroamyotrophiclateralsclerosisalsschema.json	9207	4	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	144	22	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-dneuroparkinsonsdiseaseschema.json	11233	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	154	79	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-dpedshealthydevelopmentallytypicalchildrenschema.json	1177	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	27	17	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-drespairwaystenosisschema.json	11034	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	127	16	0	0	0	0	2	0	1
fsh-generated/resources/Questionnaire-dvoicevocalfoldparalysisschema.json	8702	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	147	15	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-enrollmentformschema.json	16886	5	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	281	35	0	0	0	0	11	0	0
fsh-generated/resources/Questionnaire-qgenericconfoundersschema.json	39305	6	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	489	57	0	0	0	0	8	0	0
fsh-generated/resources/Questionnaire-qgenericdemographicsschema.json	20291	5	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	274	29	0	0	0	0	4	0	1
fsh-generated/resources/Questionnaire-qgenericgad7anxietyschema.json	5536	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	79	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-qgenericpatienthealthquestionnaire9schema.json	6922	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	92	11	0	0	0	0	2	0	1
fsh-generated/resources/Questionnaire-qgenericvoicehandicapindexvhi10schema.json	5784	4	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	86	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-qgenericvoiceperceptionschema.json	1926	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-qmoodadhdadultschema.json	10279	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	131	16	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-qmoodcustomaffectscaleschema.json	10434	4	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	110	24	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-qmooddsm5adultschema.json	29691	5	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	269	40	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-qmoodpanasschema.json	4944	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	83	11	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-qmoodptsdadultschema.json	6769	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	113	12	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-qneuroproductivevocabularyschema.json	68670	9	0	0	0	0	0	0	5	29	0	0	0	0	0	0	0	1	0	0	315	42	0	0	0	0	6	0	1
fsh-generated/resources/Questionnaire-qneurorandomitemgenerationschema.json	2061	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	45	9	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-qneurowinogradschemasschema.json	98787	12	0	0	0	0	0	0	4	102	0	0	0	0	0	0	0	1	0	0	1383	96	0	0	1	0	22	0	1
fsh-generated/resources/Questionnaire-qneurowordcolorstroopschema.json	19957	5	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	309	26	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-qrespdyspneaindexdischema.json	5935	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	106	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-qrespleicestercoughquestionnairelcqschema.json	14171	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	1	0	0	148	16	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-qvoicevoiceproblemseverityschema.json	1385	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	43	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-recordingschema.json	2418	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	73	9	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-sessionschema.json	1723	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	8	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-subjectparticipantbasicinformationschema.json	3051	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	11	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-subjectparticipantcontactinformationschema.json	1620	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	43	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-subjectparticipanteligiblestudiesschema.json	8770	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	154	16	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-vbai-body-height.json	2253	4	0	0	0	0	0	265	0	34	0	0	1	0	0	0	0	1	0	0	337	3297	0	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-vbai-body-weight.json	2255	4	1	0	0	0	0	49	0	24	0	0	0	0	0	0	0	2	0	0	328	945	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-vbai-cohort-protocol.json	3227	4	0	0	0	0	0	83	0	35	0	0	1	0	0	0	0	2	0	0	521	1273	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-vbai-condition.json	1952	5	0	0	0	0	0	52	0	16	0	0	0	0	0	0	0	1	0	0	235	313	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-vbai-consent.json	2803	4	0	0	0	0	0	46	0	22	0	0	0	0	0	0	0	1	0	0	288	281	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-vbai-encounter.json	1660	3	0	0	0	0	0	45	0	23	0	0	0	0	0	0	0	2	0	0	313	376	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-vbai-imaging-media.json	2408	4	0	0	0	0	0	55	0	13	0	0	0	0	0	0	0	0	0	0	133	168	0	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-vbai-imaging-study.json	2210	3	0	0	0	0	0	47	0	16	0	0	0	0	0	0	0	1	0	0	218	882	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-vbai-patient.json	1217	4	0	0	0	0	0	35	0	22	0	0	0	0	0	0	0	2	0	0	302	434	0	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-vbai-plan-definition.json	2101	3	1	0	0	0	0	51	0	16	0	0	0	0	0	0	0	2	0	0	356	338	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-vbai-questionnaire-response.json	1632	4	0	0	0	0	0	33	0	7	0	0	0	0	0	0	0	0	0	0	154	153	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-vbai-questionnaire.json	2301	3	0	0	0	0	0	47	0	21	0	0	0	0	0	0	0	2	0	0	281	292	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-vbai-vital-signs.json	1943	3	0	0	0	0	0	47	0	18	0	0	0	0	0	0	0	1	0	0	267	448	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-vbai-waveform-device.json	1334	4	0	0	0	0	0	33	0	16	0	0	0	0	0	0	0	1	0	0	214	354	0	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-vbai-waveform-media.json	2451	4	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	1	0	0	131	287	0	0	0	0	2	0	0
